70,15,15,0.571,0.5948,0.6857
70,15,20,0.5765,0.617,0.6608
70,15,25,0.5315,0.6098,0.7269
70,15,30,0.5643,0.6257,0.732
70,20,15,0.711,0.6633,0.7094
70,20,20,0.6419,0.6441,0.7524
70,20,25,0.3933,0.5381,0.604
70,20,30,0.5626,0.5763,0.6657
70,25,15,0.753,0.7264,0.8
70,25,20,0.4935,0.5975,0.6549
70,25,25,0.4469,0.5632,0.6338
70,25,30,0.5697,0.6436,0.7564
70,30,15,0.6468,0.6522,0.7346
70,30,20,0.8105,0.7097,0.7796
70,30,25,0.5992,0.6277,0.7462
70,30,30,0.5263,0.616,0.7357
70,35,15,0.5362,0.5803,0.6428
70,35,20,0.7159,0.6526,0.7308
70,35,25,0.5501,0.6044,0.6945
70,35,30,0.501,0.5878,0.693
70,40,15,0.5671,0.5925,0.7058
70,40,20,0.6234,0.6658,0.77
70,40,25,0.5561,0.6095,0.7244
70,40,30,0.6333,0.6699,0.7761
70,45,15,0.6327,0.6598,0.7496
70,45,20,0.4946,0.6063,0.6847
70,45,25,0.7969,0.775,0.8441
70,45,30,0.6867,0.7422,0.8149
70,50,15,0.7203,0.6979,0.7537
70,50,20,0.6913,0.7475,0.8169
70,50,25,0.8632,0.8357,0.8842
70,50,30,0.8932,0.8645,0.8932
